Name;Model;Manufacturer;Serial
Monitor-ARTY;Dell UltraSharp U2419H;Dell;567DFG45DFG
Monitor-QUER;Dell UltraSharp U2719D;Dell;345UKB78DGH
Monitor-ZYX;Dell S2721QS;Dell;678JKL90RTY
Monitor-ABC;Dell Alienware AW3420DW;Dell;890OPQ12WER
Monitor-123;HP Pavilion 22cwa;HP;901RST34UVW
Monitor-456;HP VH240a;HP;234FGH56TUV
Monitor-789;HP Omen 27;HP;567JKL78IOP
Monitor-XYZ;HP EliteDisplay E273;HP;890WER12FGH
Monitor-POI;Lenovo L24i-30;Lenovo;123FGH45TYU
Monitor-UJM;Lenovo Legion Y27q-20;Lenovo;456OPQ78WER
Monitor-JKL;Lenovo ThinkVision P27h-20;Lenovo;789TUV90ERT
Monitor-ERT;Acer Predator X34;Acer;012IKL34DFG
Monitor-QWE;Acer SB220Q;Acer;345ERT56DFG
Monitor-UIO;Acer R240HY;Acer;678DFG90ERT
Monitor-ERTY;Asus ROG Swift PG279Q;Asus;901FGH23WES
Monitor-HJKL;Asus VG248QE;Asus;234JKL56ERT
Monitor-FGH;Asus ProArt Display PA278QV;Asus;567ERT78DFG
Monitor-DFG;LG 27UK850-W;LG;890RTY12JKL
Monitor-WER;LG 24MP88HV;LG;123YUI45ERT
Monitor-RTY;LG 34UM69G-B;LG;456JKL78DFG
Monitor-UIO1;Samsung Odyssey G7;Samsung;789DFG90JKL
Monitor-HJK2;Samsung CHG90;Samsung;012JKL34ERT
Monitor-FGH3;Samsung UR59C;Samsung;345ERT56WER
Monitor-DFG4;ViewSonic VX3276-MHD;ViewSonic;678DFG90KJL
Monitor-WER5;ViewSonic XG2402;ViewSonic;901FGH23IJK
